"id","area_km"
4420007.00,0.90
4420008.00,2.08
4420009.00,0.43
4420010.00,1.72
4420011.00,1.29
4420012.01,1.05
4420012.02,1.80
4420013.01,51.28
4420013.02,1.99
4420013.03,5.21
4420100.01,3.05
4420100.02,9.16
4420101.02,13.85
4420101.03,1.60
4420101.04,1.79
4420102.00,63.06
4420200.00,2.82
4420201.00,1.12
4420202.00,0.68
4420203.00,1.26
4420204.00,4.68
4420205.01,3.23
4420205.02,2.67
4420205.03,1.75
4420210.00,39.64
4420211.00,61.16
4420212.00,91.34
4420213.00,58.30
4420300.01,0.75
4420300.02,172.05
4420301.00,20.81
4420302.00,247.81
4420303.00,53.67
4420304.00,106.47
4470000.00,1016.64
4470001.01,34.73
4470001.02,1.89
4470002.00,2.57
4470003.00,4.22
4470004.00,1.30
4470005.00,8.35
4470006.00,2.85
4470007.00,1.18
4470008.00,5.29
4470009.00,9.29
4470010.00,20.05
4470011.00,110.39
4470012.00,111.29
4470013.00,57.62
4470014.00,5.14
4470015.00,90.34
4470100.00,59.94
4470101.00,87.46
4470102.00,98.79
4470103.00,4.20
4470104.00,87.55
4470105.00,48.30
4470106.00,97.72
4470107.00,66.19
4500000.00,494.40
4500001.00,23.57
4500002.00,24.02
4500003.00,5.14
4500004.00,2.12
4500005.00,1.21
4500006.00,4.68
4500007.00,0.95
4500008.00,1.20
4500009.00,2.50
4500010.00,0.91
4500011.00,1.52
4500012.00,2.03
4500013.00,1.98
4500014.00,13.88
4500015.00,6.37
4500016.00,60.72
4500100.00,114.13
4500200.00,50.14
4500201.00,79.57
4500202.00,97.78
4620000.00,4604.26
4620001.00,0.46
4620002.00,0.39
4620003.00,0.74
4620004.00,0.45
4620005.00,0.56
4620006.00,0.65
4620007.00,1.09
4620008.00,0.62
4620009.00,4.26
4620010.00,0.92
4620011.00,1.25
4620012.01,0.24
4620012.02,0.40
4620013.00,1.08
4620014.01,0.90
4620014.02,0.87
4620015.00,0.38
4620016.00,0.52
4620017.00,0.22
4620018.00,0.37
4620019.00,0.33
4620021.00,0.44
4620022.00,0.17
4620023.00,0.36
4620024.00,0.28
4620025.00,0.22
4620026.00,0.17
4620027.00,0.09
4620028.00,0.16
4620029.00,0.40
4620030.00,0.30
4620031.00,0.26
4620032.00,0.12
4620033.00,0.15
4620034.00,0.21
4620035.00,0.18
4620036.00,0.19
4620037.00,0.51
4620038.00,0.21
4620039.00,0.48
4620040.00,2.14
4620041.00,0.26
4620042.00,0.10
4620043.00,0.35
4620044.00,0.14
4620045.00,0.12
4620046.00,0.16
4620047.00,0.12
4620048.00,0.14
4620049.00,0.16
4620050.00,0.07
4620051.00,0.21
4620052.00,0.14
4620053.00,0.11
4620054.00,0.15
4620055.01,0.73
4620055.02,1.31
4620056.00,0.29
4620057.00,0.15
4620058.00,0.15
4620059.00,0.20
4620060.00,0.09
4620061.00,0.22
4620062.00,0.83
4620063.00,0.36
4620064.00,0.24
4620065.01,0.14
4620065.02,0.15
4620066.01,0.23
4620066.02,0.18
4620067.00,0.15
4620068.00,0.16
4620069.01,0.44
4620069.02,0.26
4620070.01,0.26
4620070.02,0.36
4620071.00,0.45
4620072.00,2.59
4620073.00,0.33
4620074.00,0.40
4620075.00,0.31
4620076.00,0.37
4620077.00,0.42
4620078.00,0.37
4620079.00,0.60
4620080.00,0.09
4620081.00,0.26
4620082.00,0.30
4620083.00,0.41
4620084.00,0.34
4620085.00,1.13
4620086.00,0.53
4620087.00,0.26
4620088.00,0.34
4620089.00,0.53
4620090.00,0.44
4620091.00,0.99
4620092.00,0.56
4620093.00,0.74
4620094.01,1.79
4620094.02,1.89
4620095.00,0.22
4620096.00,0.19
4620097.01,0.35
4620097.02,0.39
4620098.00,1.04
4620099.00,0.69
4620100.01,0.46
4620100.02,0.36
4620101.01,0.35
4620101.02,0.36
4620102.00,0.59
4620103.00,0.33
4620104.00,0.38
4620105.00,0.30
4620106.00,0.24
4620107.00,0.16
4620108.00,0.56
4620109.00,0.17
4620110.00,0.25
4620111.00,0.75
4620112.01,0.63
4620112.02,0.28
4620113.00,0.50
4620114.00,0.28
4620115.01,0.22
4620115.02,0.43
4620116.00,0.64
4620117.00,0.27
4620118.00,0.30
4620119.00,0.58
4620120.01,2.63
4620120.02,0.20
4620121.00,0.39
4620122.00,0.67
4620123.00,0.41
4620124.00,0.38
4620125.00,0.48
4620126.00,0.75
4620127.01,0.49
4620127.02,1.32
4620128.00,3.00
4620129.01,0.28
4620129.02,0.36
4620130.00,0.15
4620131.00,0.10
4620132.00,0.27
4620133.00,0.15
4620134.00,0.09
4620135.00,0.12
4620136.00,0.18
4620137.00,0.18
4620138.00,0.28
4620139.00,0.22
4620140.00,0.12
4620141.00,0.12
4620142.00,0.11
4620143.00,0.17
4620144.00,0.19
4620145.00,0.41
4620146.00,0.14
4620147.00,0.17
4620148.00,0.14
4620149.00,0.14
4620150.00,0.16
4620151.00,0.12
4620152.00,0.14
4620153.00,0.28
4620154.00,0.12
4620155.00,0.11
4620156.00,0.14
4620157.00,0.16
4620158.00,0.14
4620159.00,0.12
4620160.00,0.12
4620161.00,0.14
4620162.00,0.09
4620163.00,0.20
4620164.00,0.07
4620165.00,0.15
4620166.00,0.23
4620167.00,0.21
4620168.00,0.17
4620169.00,0.15
4620170.00,0.16
4620171.00,0.48
4620172.00,0.20
4620173.00,0.19
4620174.00,0.23
4620175.00,0.12
4620176.00,0.11
4620177.00,0.10
4620178.00,0.28
4620179.00,0.50
4620180.00,0.26
4620181.00,0.33
4620182.00,0.14
4620183.00,0.13
4620184.00,0.22
4620185.00,0.39
4620186.00,0.39
4620187.01,0.36
4620187.03,0.36
4620187.04,0.77
4620188.01,0.15
4620188.02,0.23
4620189.00,1.47
4620190.01,0.45
4620190.02,1.04
4620191.00,1.69
4620192.00,0.78
4620193.00,0.26
4620194.00,1.21
4620195.01,0.55
4620195.02,0.60
4620195.03,0.88
4620196.00,0.40
4620197.00,0.60
4620198.00,0.65
4620199.00,0.23
4620200.00,0.31
4620201.00,0.94
4620202.00,0.61
4620203.00,0.24
4620204.00,0.23
4620205.00,0.18
4620206.00,0.23
4620207.00,0.26
4620208.00,0.20
4620209.00,0.66
4620210.00,0.33
4620211.00,0.18
4620212.00,0.19
4620213.00,0.19
4620214.00,0.25
4620215.00,0.23
4620216.00,0.32
4620217.00,0.16
4620218.00,0.28
4620219.00,0.31
4620220.00,0.42
4620221.00,0.33
4620222.00,0.20
4620223.01,0.14
4620223.02,0.20
4620224.00,0.38
4620225.00,0.65
4620226.00,0.24
4620227.00,0.12
4620228.00,0.11
4620229.00,0.47
4620230.00,0.12
4620231.00,0.10
4620232.00,0.36
4620233.00,0.10
4620234.00,0.15
4620235.00,0.12
4620236.00,0.11
4620237.00,0.22
4620238.00,0.16
4620239.00,0.54
4620240.00,0.31
4620241.00,0.21
4620242.00,0.37
4620243.00,0.25
4620244.00,0.18
4620245.00,0.22
4620247.00,0.19
4620249.00,0.53
4620250.00,0.45
4620251.01,0.48
4620251.02,0.24
4620252.00,0.33
4620253.00,0.46
4620254.00,0.61
4620256.00,1.84
4620257.00,1.33
4620258.00,0.40
4620259.00,0.37
4620260.00,0.54
4620261.00,0.63
4620262.00,0.76
4620263.00,0.75
4620264.01,1.22
4620264.02,0.91
4620265.00,0.48
4620266.00,0.75
4620267.00,1.13
4620268.01,0.58
4620268.02,0.30
4620268.03,1.28
4620269.00,0.77
4620270.00,0.68
4620271.00,0.48
4620272.00,0.50
4620273.00,0.57
4620274.00,0.48
4620275.00,0.62
4620276.00,0.86
4620277.00,0.56
4620278.00,0.59
4620279.00,0.94
4620280.00,0.59
4620281.00,1.09
4620282.00,1.33
4620283.01,0.61
4620283.02,0.47
4620284.00,0.58
4620285.00,1.51
4620286.00,0.79
4620287.01,0.54
4620287.02,1.11
4620288.00,1.89
4620290.01,1.20
4620290.02,1.80
4620290.03,0.64
4620290.04,2.83
4620290.05,2.22
4620290.06,0.90
4620290.07,0.58
4620290.08,1.13
4620290.09,1.11
4620291.01,0.98
4620291.03,6.99
4620291.04,3.20
4620300.00,0.52
4620301.00,0.42
4620302.00,0.21
4620303.00,0.26
4620304.00,0.27
4620305.00,0.35
4620306.00,0.22
4620307.00,0.17
4620308.00,0.17
4620309.00,0.19
4620310.00,0.43
4620311.00,0.36
4620312.00,0.31
4620313.00,0.40
4620314.00,0.26
4620315.00,0.81
4620316.00,0.57
4620317.02,1.30
4620317.03,0.81
4620317.04,1.63
4620320.00,0.68
4620321.00,1.11
4620322.02,0.78
4620322.03,0.77
4620322.04,0.46
4620323.00,0.62
4620324.01,0.67
4620324.02,0.67
4620325.01,0.39
4620325.02,0.98
4620325.03,0.47
4620325.05,0.91
4620325.06,0.77
4620326.01,2.54
4620326.02,1.09
4620326.03,1.32
4620327.00,1.09
4620328.00,0.44
4620329.00,0.63
4620330.00,2.06
4620340.00,1.37
4620350.00,0.56
4620351.00,0.46
4620352.00,0.49
4620353.00,0.41
4620354.00,0.81
4620355.00,0.31
4620356.00,1.00
4620360.00,1.43
4620361.00,0.11
4620362.00,0.52
4620363.00,0.37
4620364.00,0.23
4620365.00,0.25
4620366.00,0.35
4620367.00,0.55
4620370.00,1.80
4620380.00,0.77
4620381.00,0.59
4620382.01,0.58
4620382.02,1.56
4620383.01,1.73
4620383.02,1.50
4620385.00,0.04
4620390.00,1.03
4620391.00,0.32
4620392.00,0.44
4620393.00,1.04
4620394.00,1.34
4620395.01,7.64
4620395.02,0.69
4620395.03,0.61
4620396.00,1.46
4620397.00,1.19
4620400.00,1.38
4620401.00,0.97
4620402.00,2.44
4620403.00,1.32
4620404.00,1.43
4620410.01,0.87
4620410.02,0.76
4620410.03,2.21
4620412.00,1.50
4620413.01,0.81
4620413.02,0.81
4620415.03,0.26
4620415.04,0.48
4620415.05,10.89
4620415.06,17.97
4620416.01,0.85
4620416.02,1.04
4620417.01,0.67
4620417.02,0.36
4620418.00,1.30
4620419.00,0.38
4620420.00,0.83
4620421.01,0.41
4620421.02,0.56
4620430.00,1.99
4620431.00,2.21
4620432.00,1.30
4620433.00,15.40
4620440.00,0.19
4620450.00,3.76
4620451.00,3.33
4620452.00,3.15
4620453.01,1.98
4620453.02,6.69
4620460.00,3.58
4620461.00,1.88
4620462.01,2.38
4620462.02,3.19
4620470.01,3.51
4620470.03,2.42
4620470.04,1.57
4620470.05,2.12
4620480.00,6.03
4620490.00,0.69
4620491.00,9.79
4620500.00,7.53
4620511.01,1.46
4620511.02,1.54
4620512.02,1.47
4620512.03,0.69
4620512.04,1.77
4620513.01,1.09
4620513.02,1.25
4620514.01,2.00
4620514.02,1.87
4620515.01,9.12
4620515.02,0.93
4620515.03,0.97
4620515.04,0.84
4620520.02,1.62
4620520.03,1.48
4620520.04,1.06
4620521.01,0.84
4620521.04,1.40
