"id","area_km"
12060140,2.79
12060141,79.83
12060142,99.54
12060143,15.03
12060144,11.56
12060145,0.95
12060146,1.31
12060147,1.37
12060148,0.40
12060149,111.50
12060150,219.94
12060151,49.32
12060152,2.58
12060153,36.44
12060154,9.66
12060156,1.60
12060157,1.52
12060158,12.13
12060160,6.26
12060161,25.16
12060162,35.66
12060163,22.27
12060166,4.70
12060167,4.22
12060168,23.12
12060169,8.94
12060170,17.08
12060171,6.94
12060172,19.92
12060173,81.70
12060174,4.14
12060176,138.54
12060177,1.16
12060178,17.97
12060179,15.22
12060180,2.01
12060181,9.56
12060182,0.68
12060183,0.55
12060184,4.04
12060185,4.22
12060186,60.63
12060187,6.53
12060188,34.91
12060190,80.00
1207,2126.71
12070081,75.24
12070082,20.77
12070083,5.71
12070084,2.92
12070085,19.78
12070086,12.86
12070087,2.56
12070088,3.90
12070089,6.62
12070090,0.32
12070091,0.50
12070092,0.30
12070093,0.22
12070094,0.39
12070095,0.30
12070096,1.38
12070097,0.30
12070098,2.39
12070099,2.67
12070100,0.20
12070101,1.68
12070102,0.60
12070103,0.53
12070104,0.25
12070105,2.11
12070106,0.38
12070107,0.42
12070108,8.02
12070109,14.30
12070110,7.62
12070111,15.48
12070112,4.40
12070113,4.70
12070114,0.41
12070115,21.61
12070116,2.96
12070117,1.37
12070118,10.11
12070119,3.71
12070120,2.07
12070121,13.77
12070122,16.23
12070123,46.24
12070124,36.62
12070125,29.93
12070126,20.85
12070127,27.83
12070128,11.79
12070129,2.63
12070130,4.17
12070131,9.22
12070132,0.65
12070133,40.77
12070134,19.09
12070135,2.80
12070136,0.63
12070137,0.56
12070138,0.59
12070139,2.01
12070140,13.26
12070141,10.70
12070142,63.16
12070143,10.92
12070144,73.53
12070145,2.73
12070146,0.57
12070147,3.14
