X,Y,id,CMAUID,CTUID
-79.7119259292337,43.4717785024163,35240180,535,5350612.27
-79.711988691858,43.4689944688176,35240181,535,5350612.27
-79.713793523523,43.4707060792285,35240182,535,5350612.27
-79.750832984188,43.5599035624088,35211857,535,5350516.42
-79.7552335430766,43.5539318608521,35211859,535,5350516.42
-79.7544988917062,43.5499006936671,35211860,535,5350516.42
-79.7493900736042,43.5530641859845,35211861,535,5350516.42
-79.7498139792335,43.5459671772845,35211863,535,5350516.47
-79.7454704136802,43.5461231540938,35211864,535,5350516.47
-79.7428841576197,43.5545323086235,35211868,535,5350516.46
-79.5540686101112,43.5841656002004,35210958,535,5350500.02
-79.5498399842534,43.5878658495955,35210959,535,5350500.02
-79.5694223363589,43.5752194614494,35210961,535,5350509.01
-79.5728289227383,43.6127628779315,35210964,535,5350510.00
-79.5790092714897,43.6171002785493,35210967,535,5350525.02
-79.5906280086602,43.6168017249918,35210970,535,5350525.01
-79.6985560656438,43.5895175015466,35210676,535,5350528.47
-79.6849841328647,43.593245238832,35210679,535,5350528.16
-79.6853769768912,43.5895557646467,35210680,535,5350528.16
-79.6820865033726,43.5915894089552,35210681,535,5350528.16
-79.681613088686,43.5878269891584,35210682,535,5350528.16
-79.6779686836251,43.587267780091,35210683,535,5350528.16
-79.6753314394828,43.5850058356421,35210685,535,5350528.02
-79.6725221725428,43.584911103789,35210686,535,5350528.02
-79.766353056091,43.6243974911544,35211872,535,5350528.37
-79.7536569943886,43.6402713911828,35211873,535,5350528.37
-79.7568900660446,43.6372142375131,35211874,535,5350528.37
-79.7383525925052,43.6454374798492,35211875,535,5350528.36
-79.7355362340117,43.6444430385574,35211876,535,5350528.36
-79.7325080842878,43.6462846064982,35211877,535,5350528.36
-79.7386982813657,43.6436433368187,35211878,535,5350528.36
-79.7234370410681,43.756458664002,35211879,535,5350576.40
-79.7269654667322,43.7576897970086,35211880,535,5350576.40
-79.5986659374601,43.6412813234999,35210996,535,5350527.04
-79.6529147764339,43.4974276504314,35240162,535,5350600.02
-79.6883332785618,43.4923091474564,35240165,535,5350612.24
-79.8499962867086,43.2999827768684,35240398,537,5370202.00
-79.8616701664627,43.2967938481918,35240399,537,5370202.00
-79.8726645407988,43.2979578472516,35240400,537,5370201.00
-79.6860556003175,43.4446930405384,35240223,535,5350606.00
-79.6837327462499,43.4457383992397,35240224,535,5350603.00
