X,Y,DAUID,cma,pop,area_km2
-79.553451,43.187817,35260327,537,364,0.39
-79.831016,43.248772,35250717,537,481,0.12
-79.791719,43.242274,35250749,537,472,0.12
-79.8264,43.248151,35250709,537,489,0.07
-79.819495,43.246159,35250712,537,390,0.07
-79.890243,43.231802,35250519,537,638,0.22
-79.822514,43.247913,35250710,537,452,0.06
-79.804287,43.223979,35250347,537,447,0.13
-79.860511,43.231284,35250551,537,483,0.12
-79.800912,43.227185,35250336,537,506,0.14
-79.565986,43.193724,35260322,537,436,0.24
-79.92902,43.242867,35250100,537,490,0.21
-79.624141,43.210116,35260340,537,1179,1.63
-79.81671,43.245018,35250777,537,486,0.08
-79.743131,43.221713,35250277,537,422,0.08
-79.83477,43.24023,35250731,537,595,0.33
-79.835888,43.247948,35250719,537,423,0.06
-79.564246,43.205779,35260319,537,368,0.18
-79.844824,43.250399,35250957,537,505,0.09
-79.49678,43.159866,35260303,539,569,8.62
-79.74234,43.231479,35250281,537,535,0.09
-79.857443,43.229452,35250552,537,463,0.12
-79.841718,43.22737,35250560,537,520,0.13
-79.779797,43.220048,35250857,537,584,0.24
-79.927633,43.236467,35250093,537,538,0.21
-79.754118,43.214169,35250255,537,527,0.21
-79.838412,43.238022,35250365,537,928,0.13
-79.847525,43.246356,35250446,537,532,0.08
-79.788406,43.238225,35250328,537,395,0.09
-79.866703,43.249722,35250429,537,364,0.03
-79.857696,43.248011,35250453,537,432,0.04
-79.718258,43.224155,35250290,537,636,0.2
-79.745011,43.232739,35250319,537,420,0.04
-79.966136,43.26992,35250827,537,322,0.1
-79.947128,43.268479,35250042,537,247,0.06
-79.853227,43.249429,35250450,537,508,0.06
-79.963665,43.271816,35250826,537,885,0.42
-79.854532,43.232867,35250554,537,510,0.11
-79.715324,43.21308,35250295,537,343,0.07
-79.851528,43.241725,35250444,537,529,0.17
-79.806042,43.228595,35250340,537,270,0.08
-79.883616,43.250707,35250390,537,503,0.08
-79.905355,43.247993,35250514,537,865,1.91
-79.993384,43.337483,35250894,537,476,9.14
-79.894062,43.249057,35250509,537,573,0.12
-79.90601,43.330058,35250885,537,549,0.11
-79.901566,43.327829,35250945,537,650,0.17
-79.933207,43.28218,35250032,537,614,1.01
-79.812942,43.364057,35240327,537,462,0.16
-79.782755,43.3516,35240459,537,408,0.1
-79.813225,43.356486,35240331,537,893,0.24
-79.820589,43.356885,35240373,537,392,0.18
-79.817552,43.3656,35240328,537,501,0.25
-79.823653,43.358834,35240372,537,449,0.19
-79.767952,43.349185,35240474,537,653,0.25
-79.824968,43.370254,35240366,537,619,0.21
-79.851505,43.359887,35240382,537,423,0.23
-79.816623,43.35849,35240330,537,585,0.15
-79.874798,43.25318,35250421,537,629,0.04
-79.876011,43.254355,35250396,537,591,0.02
-79.77996,43.353564,35240460,537,433,0.12
-79.922211,43.255092,35250669,537,340,0.2
-79.888058,43.255825,35250513,537,504,0.14
-79.914179,43.256386,35250671,537,291,0.15
-79.990172,43.272036,35250939,537,581,0.66
-79.931216,43.258763,35250679,537,556,0.77
-79.894782,43.252345,35250507,537,557,0.09
-79.864599,43.25392,35250854,537,1013,0.2
-79.880249,43.25103,35250391,537,509,0.07
-79.740491,43.367248,35240517,537,479,0.16
-79.882673,43.254163,35250403,537,643,0.11
-79.861006,43.252357,35250435,537,451,0.06
-79.980505,43.398245,35250869,537,523,0.53
-79.797079,43.38384,35240662,537,2357,1.55
-79.946879,43.26638,35250041,537,403,0.13
-79.961436,43.265425,35250830,537,508,0.19
-79.743436,43.364515,35240516,537,614,0.33
-79.904867,43.257797,35250855,537,1107,0.27
-79.879051,43.256773,35250400,537,662,0.05
-79.95353,43.266235,35250038,537,689,0.14
-79.963979,43.267743,35250829,537,444,0.15
-79.951815,43.264969,35250039,537,526,0.08
-79.879741,43.254736,35250401,537,624,0.02
-80.296316,43.369913,35300722,541,1191,0.62
-80.297193,43.365741,35300677,541,499,0.23
-79.865332,43.257374,35250468,537,552,0.2
-80.327872,43.370473,35300663,541,538,0.21
-79.842055,43.252649,35250961,537,451,0.06
-80.342363,43.368586,35300660,541,1401,1.52
-79.903299,43.262405,35250676,537,394,0.1
-79.907559,43.263519,35250677,537,472,0.1
-80.465627,43.38197,35300880,541,3559,7.74
-79.923243,43.221664,35250129,537,354,0.07
-79.832338,43.209466,35250607,537,477,0.24
-79.843887,43.253174,35250954,537,440,0.06
-79.969838,43.270223,35250836,537,402,0.11
-79.913269,43.219955,35250125,537,332,0.06
-79.839326,43.20947,35250609,537,523,0.09
-79.710137,43.404624,35240583,535,512,0.22
-79.704614,43.402746,35240256,535,541,0.31
